role,weight_method,split,threshold_type,threshold,accuracy,roc_auc,pr_auc,f1,precision,recall,mcc,brier,predicted_positive_rate
bullpen,class_only,val,0.5,0.5,0.5844699429891029,0.548473917443507,0.03247764081240173,0.05155658046450338,0.027243450256767342,0.4793261868300153,0.020423340160362836,0.23664547502994537,0.41455582016309445
bullpen,class_only,val,validation_selected,0.5205001831054688,0.8389622573428592,0.548473917443507,0.03247764081240173,0.06651328174022171,0.038517441860465115,0.2434915773353752,0.041248654309743844,0.23664547502994537,0.14894998917514612
bullpen,class_only,test,0.5,0.5,0.602212893126512,0.5196642156648801,0.026025924064719957,0.048506510084248146,0.02571505909952179,0.42664670658682635,0.010327055550234984,0.2357807457447052,0.3943005550021346
bullpen,class_only,test,validation_selected,0.5205001831054688,0.855308097338836,0.5196642156648801,0.026025924064719957,0.044632370213765565,0.026469768737809974,0.14221556886227546,0.0067926417632927765,0.2357807457447052,0.12768606802333854
bullpen,class_x_time,val,0.5,0.5,0.22122393014360972,0.5451144832844043,0.03407744296027673,0.04681358477233582,0.0241018644838563,0.8116385911179173,0.006974915526702087,0.3210483193397522,0.7934617882658584
bullpen,class_x_time,val,validation_selected,0.6940515637397766,0.9595150465468716,0.5451144832844043,0.03407744296027673,0.07730263157894737,0.08348134991119005,0.07197549770290965,0.05688507857290748,0.3210483193397522,0.02031464241899401
bullpen,class_x_time,test,0.5,0.5,0.21887007257720223,0.5378689868804665,0.034274294875079214,0.04993509303331891,0.02571072096961055,0.8637724550898204,0.02541654124639733,0.3186321556568146,0.7984203785399174
bullpen,class_x_time,test,validation_selected,0.6940515637397766,0.967518144300555,0.5378689868804665,0.034274294875079214,0.025613660618996798,0.04460966542750929,0.017964071856287425,0.013451911314995317,0.3186321556568146,0.009570229116265832
starter,class_only,val,0.5,0.5,0.7386552625326681,0.5707691721451864,0.05129133048869648,0.06542056074766354,0.036492890995260666,0.3155737704918033,0.025880978548390582,0.19224980473518372,0.2506533618436683
starter,class_only,val,validation_selected,0.534063994884491,0.8342836778332146,0.5707691721451864,0.05129133048869648,0.07554671968190854,0.045059288537549404,0.2336065573770492,0.04029172828753134,0.19224980473518372,0.15027322404371585
starter,class_only,test,0.5,0.5,0.7063214369022627,0.5138559692086817,0.034926961712196836,0.0674074074074074,0.0377906976744186,0.3116438356164384,0.012866311801597037,0.20101970434188843,0.2808490786097504
starter,class_only,test,validation_selected,0.534063994884491,0.8021926755306741,0.5138559692086817,0.034926961712196836,0.0640176600441501,0.038157894736842106,0.19863013698630136,0.01049700488451106,0.20101970434188843,0.17728014928854677
starter,class_x_time,val,0.5,0.5,0.4799239724400095,0.5793667546438728,0.055934770038530604,0.06652452025586354,0.03508771929824561,0.639344262295082,0.03848257248945823,0.2618360221385956,0.5281539558089807
starter,class_x_time,val,validation_selected,0.5820989608764648,0.7105013067236874,0.5793667546438728,0.055934770038530604,0.0723258469737343,0.03986571548468317,0.38934426229508196,0.040752784033766726,0.2618360221385956,0.28308386790211454
starter,class_x_time,test,0.5,0.5,0.43608584091439234,0.5293045571680456,0.03873366519555459,0.06893895628730984,0.03652315853907366,0.613013698630137,0.015709928624853306,0.274556040763855,0.5716118497783998
starter,class_x_time,test,validation_selected,0.5820989608764648,0.6728481455563331,0.5293045571680456,0.03873366519555459,0.07149950347567031,0.0395749358739465,0.3698630136986301,0.02078997211182056,0.274556040763855,0.31828784697923956
