model,seed,epoch,train_loss,validation_loss
vit,100,1,1.2455550855205906,0.519855756913462
vit,100,2,1.2225898196620326,0.6265952394854638
vit,100,3,1.1588071982065837,0.7212331064285771
vit,100,4,1.1650556479730914,0.8080121547945084
vit,100,5,1.1326035825155114,0.7982994664099908
vit,100,6,1.0498565678955407,0.6199993894946191
vit,100,7,0.9427850278474952,0.5193008069069155
vit,100,8,0.6597335538876954,0.43296592466292844
vit,100,9,0.5802701042704684,0.5227527349225937
vit,100,10,0.41851623436456087,0.611854987759744
vit,100,11,0.19061528159285424,0.6519428876138502
vit,100,12,0.0726196323371222,0.6555147517111993
vit,100,13,0.045408755831260195,0.741013023161119
vit,100,14,0.1326015234614412,0.7854512891461772
vit,100,15,0.03942207837857867,0.9250335039631012
vit,100,16,0.06516107928849035,0.8806455327618506
vit,100,17,0.016801691994631805,0.9224010975130142
vit,100,18,0.013203695326322509,0.9006627240488606
vit,100,19,0.011623366360342311,0.895893806411374
vit,100,20,0.011241408270252969,0.8952870676594396
vit,100,21,0.011171620719695604,0.8952870676594396
vit,100,22,0.010692458241797423,0.8894897122536937
vit,100,23,0.008977708198951297,0.8991850076183197
vit,100,24,0.006989018633581137,0.9228503127251902
vit,100,25,0.005318179924381516,0.9501064054427608
vit,100,26,0.003979759876646342,0.9822122339279421
vit,100,27,0.0030265477666210744,1.009171162882159
vit,100,28,0.0024277823507755755,1.0314928024045882
vit,100,29,0.002031651445694508,1.0505400646117427
vit,100,30,0.0017578291058320031,1.0664097147603189
vit,100,31,0.0015607481185216656,1.0795821278325972
vit,100,32,0.0014156114950936328,1.090338864634114
