model,seed,epoch,train_loss,validation_loss
vit,800,1,1.3242842135249928,0.4846947193145752
vit,800,2,1.1732653648622575,0.7798317632367534
vit,800,3,1.2155891810694048,0.7840449194754323
vit,800,4,1.1924815261235802,0.7097871457376788
vit,800,5,1.1945235831763155,0.7098070959891042
vit,800,6,1.1660828705756896,0.6684315666075675
vit,800,7,1.102941966825916,0.5937345258651241
vit,800,8,1.0252393109183158,0.5346428078989829
vit,800,9,0.8007456128315259,0.5730499067614155
vit,800,10,0.5698578050059657,0.4931799865538074
vit,800,11,0.3844221003593937,0.5689988386246466
vit,800,12,0.2905389166647388,0.5426733570714151
vit,800,13,0.12300922473271687,0.5904409693133447
vit,800,14,0.05469314397502971,0.6876256196729599
vit,800,15,0.030396903594655376,0.7882054832673842
vit,800,16,0.015259605582042406,0.7972316491988397
vit,800,17,0.011166479418514877,0.794701430105394
vit,800,18,0.009901616061406751,0.8026955108488759
vit,800,19,0.009280321939337638,0.8063965199455139
vit,800,20,0.009049216816101664,0.8072535376394948
vit,800,21,0.009001719725308239,0.8072535376394948
vit,800,22,0.008631562143163655,0.82005395812373
vit,800,23,0.007337549015358892,0.8392156881670798
vit,800,24,0.005715480004186912,0.8695307854683169
vit,800,25,0.0042466948469800335,0.90356671233331
vit,800,26,0.0031379944574768826,0.9432345359556137
vit,800,27,0.0023759577062822156,0.9742941702565839
vit,800,28,0.0019042155209688409,1.001346811171501
vit,800,29,0.0015908433875489619,1.023441659827386
vit,800,30,0.0013721871455149946,1.041750475283592
vit,800,31,0.0012144413250949114,1.056950944085275
vit,800,32,0.0010983794915079268,1.0693995164286705
