model,seed,epoch,train_loss,validation_loss
vit,400,1,1.1475309473212048,0.7420822266609438
vit,400,2,1.1728808748465713,0.5398386178478118
vit,400,3,1.2010196114099154,0.5615634802849062
vit,400,4,1.1860220143871922,0.48240726993929955
vit,400,5,1.2249460829201566,0.4727718137925671
vit,400,6,1.2411070856996762,0.511115393330974
vit,400,7,1.2195845893634263,0.5380763546113045
vit,400,8,1.1672118924638277,0.4874510880439512
vit,400,9,1.108162204104085,0.4444226103444253
vit,400,10,1.0540689476715621,0.5104956972983575
vit,400,11,0.8249218092169813,0.44848963522141977
vit,400,12,0.6208445416983738,0.469369153822622
vit,400,13,0.3432031760933579,0.5741863750642345
vit,400,14,0.253793885630946,0.6278389961488785
vit,400,15,0.2563068764184111,0.629757736959765
vit,400,16,0.4350514450380879,0.562171999485262
vit,400,17,0.27209876878287204,0.6427127930425829
vit,400,18,0.08918395141760509,0.5764914058869884
vit,400,19,0.06285046890217771,0.5867771294809156
vit,400,20,0.059323125789242405,0.5890608026135352
vit,400,21,0.05864496801489143,0.5890608026135352
vit,400,22,0.052325966777980966,0.6206527957993169
vit,400,23,0.03736362221740907,0.6697596263500952
vit,400,24,0.024414216438608784,0.7256315230361877
vit,400,25,0.015739391868313152,0.7836413133528924
vit,400,26,0.01027782598850868,0.8392367237998594
vit,400,27,0.007008252174703664,0.8818166323246495
vit,400,28,0.0052127217853902485,0.915732822110576
vit,400,29,0.004120648127569947,0.9443712955520999
vit,400,30,0.0034056561798738536,0.967551936064997
vit,400,31,0.0029162440889625137,0.9863888448284518
vit,400,32,0.0025709996685906442,1.0014970937082845
