model,seed,epoch,train_loss,validation_loss
lstm,700,1,1.2215147569615354,0.5278324619416268
lstm,700,2,1.2172572792217295,0.5399647374306956
lstm,700,3,1.1998727001169676,0.5668928700108682
lstm,700,4,1.1771318002413678,0.6143645624960622
lstm,700,5,1.1556567107477496,0.689421622983871
lstm,700,6,1.1522334160343293,0.7780781407510081
lstm,700,7,1.166788984370488,0.8194343813004032
lstm,700,8,1.170922508803747,0.8001278292748236
lstm,700,9,1.1611826586466965,0.7305847291023501
lstm,700,10,1.146937447209512,0.6759354991297568
lstm,700,11,1.1467376550038655,0.6332029527233493
lstm,700,12,1.153407149417426,0.6111217621834047
lstm,700,13,1.1572566865592875,0.610687009749874
lstm,700,14,1.153497681822828,0.6442919085102696
lstm,700,15,1.1450636297143915,0.6632762416716544
lstm,700,16,1.1442287109231437,0.6819655510687059
lstm,700,17,1.1433411003440939,0.7047707342332409
lstm,700,18,1.1453783499297274,0.7088484610280683
lstm,700,19,1.1448031868985904,0.6922563122164819
lstm,700,20,1.1421650571207846,0.6854878702471333
lstm,700,21,1.1420871839728406,0.6858305161999118
lstm,700,22,1.1415865741750246,0.6871212374779486
lstm,700,23,1.1416738994659916,0.6893522201045867
lstm,700,24,1.1424655760488203,0.6908082039125504
lstm,700,25,1.1399731020773611,0.6909959854618195
lstm,700,26,1.1414954752050421,0.6909959854618195
lstm,700,27,1.1414736342686478,0.689436266499181
lstm,700,28,1.1418583188005673,0.6816464085732737
lstm,700,29,1.1413314252771356,0.6717354559129284
lstm,700,30,1.1425821018475357,0.6775121381205897
lstm,700,31,1.141982945062781,0.6799305946596207
lstm,700,32,1.1402910934981478,0.6863894308767011
lstm,700,33,1.1402383542829944,0.6760012103665259
lstm,700,34,1.139897649006177,0.6731493549962198
lstm,700,35,1.1380559372645553,0.6651586717174899
lstm,700,36,1.1380511471020278,0.6536802476452243
lstm,700,37,1.1393566682774534,0.6411690865793536
lstm,700,38,1.1385517133179532,0.6496981959189138
lstm,700,39,1.1362005677274478,0.6827994315854965
lstm,700,40,1.1346591890499156,0.7012163592923072
lstm,700,41,1.1350701726892942,0.718629652454007
lstm,700,42,1.1395759877338205,0.7338021186090284
lstm,700,43,1.139394203821818,0.7310429849932271
lstm,700,44,1.136066339349234,0.7044087071572581
lstm,700,45,1.1322798716124667,0.6718738925072455
lstm,700,46,1.1303015126976916,0.657530999952747
lstm,700,47,1.132269105603618,0.6517410893594066
lstm,700,48,1.1321622081982192,0.6509675671977382
lstm,700,49,1.1314564520312893,0.6522809305498677
lstm,700,50,1.1330058831040577,0.6524939383229902
lstm,700,51,1.1329001252369215,0.6524939383229902
lstm,700,52,1.131094987674426,0.6602332822738155
lstm,700,53,1.1299123405128397,0.6816766800418976
lstm,700,54,1.1316401215009793,0.7106776083669355
lstm,700,55,1.1338871499543548,0.7437442041212513
lstm,700,56,1.1417019251854188,0.7786641274729083
lstm,700,57,1.1432744187693442,0.7661000528643208
lstm,700,58,1.1400903347999818,0.7187150524508569
lstm,700,59,1.1305467826063915,0.6695215163692352
lstm,700,60,1.1291229506974578,0.6413388406076739
lstm,700,61,1.129370956010716,0.6313223069713961
lstm,700,62,1.1307290241282473,0.6303658023957284
lstm,700,63,1.1265777669927126,0.6865753666047127
lstm,700,64,1.1214690592981154,0.7325927365210748
lstm,700,65,1.1294751974844164,0.7497534598073652
lstm,700,66,1.1277785993391467,0.7258022062240108
lstm,700,67,1.1212262479207848,0.6625687383836315
lstm,700,68,1.1183724518745177,0.6315725388065461
lstm,700,69,1.1254002304487332,0.6120383970199093
