model,seed,epoch,train_loss,validation_loss
lstm,600,1,1.2699534066261784,0.49867516179238597
lstm,600,2,1.2636686499400804,0.5083560943603516
lstm,600,3,1.23848045128648,0.5303747730870401
lstm,600,4,1.2008762269891717,0.5703309582125756
lstm,600,5,1.1682700687839138,0.6368092567689957
lstm,600,6,1.1502459459407355,0.7316770245951991
lstm,600,7,1.1627255524358442,0.8189137981783959
lstm,600,8,1.1724294347147788,0.8401073948029549
lstm,600,9,1.1720603742907125,0.7961334720734627
lstm,600,10,1.1542991886856735,0.7329836814634262
lstm,600,11,1.1444065109375985,0.6824884722309728
lstm,600,12,1.1397387045685963,0.6551839766963836
lstm,600,13,1.1439426791283391,0.6429524575510333
lstm,600,14,1.1435540735080678,0.6400104645759829
lstm,600,15,1.1424799952455746,0.6521714733492944
lstm,600,16,1.1380612273370065,0.6868806654407132
lstm,600,17,1.1428346915911602,0.7370284295851185
lstm,600,18,1.1412412607541649,0.7423367654123614
lstm,600,19,1.1410881242444437,0.7184189827211441
lstm,600,20,1.1379451687617967,0.6906305128528226
lstm,600,21,1.1365007495367399,0.6751803736532888
lstm,600,22,1.1337283849716187,0.6672424808625252
lstm,600,23,1.1343734572010655,0.6666382820375504
lstm,600,24,1.1344611221744167,0.6657525339434224
lstm,600,25,1.1348723608960387,0.6659416690949471
lstm,600,26,1.1348942454143236,0.6659416690949471
lstm,600,27,1.135182862640709,0.6670898929719002
lstm,600,28,1.1352777378533476,0.6723881383096019
lstm,600,29,1.133936312890822,0.6797877896216608
lstm,600,30,1.1333795350085023,0.6808826077368951
lstm,600,31,1.132120446492267,0.6912715665755733
lstm,600,32,1.1322860538318593,0.7001570424725932
lstm,600,33,1.1320088307062786,0.6901762562413369
lstm,600,34,1.1323801125249555,0.6492305878669985
lstm,600,35,1.1366465027614305,0.612670652327999
lstm,600,36,1.1367237093628093,0.6240672449911794
lstm,600,37,1.1320129363767562,0.6274176566831527
lstm,600,38,1.1299631108519852,0.6443156580771169
lstm,600,39,1.1221551715686757,0.686249271515877
lstm,600,40,1.126966784718216,0.7230725442209551
lstm,600,41,1.1249779642269175,0.7097703256914693
lstm,600,42,1.1218195307639338,0.6881998738934917
lstm,600,43,1.1186345879749586,0.6669391509025328
lstm,600,44,1.1165471987057758,0.6528763924875567
lstm,600,45,1.1181079700428953,0.6394887124338458
lstm,600,46,1.117811110711867,0.6410987607894405
lstm,600,47,1.1176678237094675,0.645277577061807
lstm,600,48,1.117057208091982,0.6500194918724799
lstm,600,49,1.1163952978708411,0.6506314431467364
lstm,600,50,1.114331712004959,0.6508544183546497
lstm,600,51,1.1164340024353356,0.6508544183546497
lstm,600,52,1.1157877458039152,0.6577680649295929
lstm,600,53,1.1146612641631917,0.6665819229618195
lstm,600,54,1.114984199564944,0.6784568294402091
lstm,600,55,1.1138597021820724,0.670914803781817
lstm,600,56,1.1128756359059324,0.6750226174631426
lstm,600,57,1.111593336187383,0.6895262195217994
lstm,600,58,1.1141984475556241,0.7014246294575353
lstm,600,59,1.1108821771478141,0.6698171554073211
lstm,600,60,1.1097770339699202,0.6367545589323966
lstm,600,61,1.1081570181795346,0.6368152249243951
lstm,600,62,1.1061413416298487,0.64631591304656
lstm,600,63,1.1006571567186745,0.6765781525642641
lstm,600,64,1.098685988815882,0.6903917866368448
lstm,600,65,1.1019413919859036,0.706725089780746
lstm,600,66,1.097376787534324,0.6607124574722782
lstm,600,67,1.098059017171142,0.6298426351239604
lstm,600,68,1.0971917606169177,0.6408368387529927
lstm,600,69,1.0917688479987524,0.661636475593813
lstm,600,70,1.0914724994731206,0.6937139572635773
lstm,600,71,1.0901051234173518,0.7003581139349169
lstm,600,72,1.089202950077672,0.6986421769665133
lstm,600,73,1.0882039249584239,0.6984450432562059
lstm,600,74,1.0886163839729883,0.6969536812074723
lstm,600,75,1.0881822224586242,0.6962915235950101
lstm,600,76,1.0895132262219664,0.6962915235950101
lstm,600,77,1.087611218934418,0.6907164050686744
lstm,600,78,1.0860095613746232,0.68110841320407
lstm,600,79,1.0870712341800812,0.6580545363887664
lstm,600,80,1.0850752502359369,0.6407556841450353
lstm,600,81,1.0850536746363486,0.6456287753197455
lstm,600,82,1.0844851604071997,0.6545363395444809
lstm,600,83,1.0799014452965028,0.6575859438988471
lstm,600,84,1.077187176673643,0.6697028990714781
lstm,600,85,1.0869100337387414,0.7461887482673891
