model,seed,epoch,train_loss,validation_loss
lstm,300,1,1.581038240463503,0.4422267175489856
lstm,300,2,1.571520665640472,0.4434375762939453
lstm,300,3,1.5287359594016947,0.4478338303104524
lstm,300,4,1.4516916223751601,0.45982379298056325
lstm,300,5,1.3582844708555488,0.4870569167598601
lstm,300,6,1.2635569521175918,0.5417420171922253
lstm,300,7,1.182773010705107,0.6412897417622228
lstm,300,8,1.1433578242537796,0.7436444682459677
lstm,300,9,1.1572115575113604,0.8052830849924395
lstm,300,10,1.1677606721078195,0.7998497255386845
lstm,300,11,1.1562240982568392,0.7329586398216986
lstm,300,12,1.1516236079636442,0.6732174042732485
lstm,300,13,1.1482535049479494,0.6372802488265499
lstm,300,14,1.1525418796846945,0.6208830802671371
lstm,300,15,1.153885752924027,0.6236104657573085
lstm,300,16,1.1482425787115609,0.6382518276091544
lstm,300,17,1.1452334747519544,0.6780175855082851
lstm,300,18,1.140622241522676,0.7152810250559161
lstm,300,19,1.141964090767727,0.7308483123779297
lstm,300,20,1.1440232646080755,0.7354173352641444
lstm,300,21,1.144333230551853,0.722228511687248
lstm,300,22,1.1423857135157431,0.7125399804884388
lstm,300,23,1.1403810695935321,0.7092226089969758
lstm,300,24,1.1406081927719938,0.7081712292086694
lstm,300,25,1.1404487150971607,0.7078863574612525
lstm,300,26,1.1407233848366687,0.7078863574612525
lstm,300,27,1.139961955367878,0.7031147864557081
lstm,300,28,1.140483396027678,0.694044420796056
lstm,300,29,1.1400025531809816,0.6850425966324345
lstm,300,30,1.1384616295496623,0.6735607270271547
lstm,300,31,1.1405067072119763,0.655549080141129
lstm,300,32,1.1402468694153653,0.6450304831227949
lstm,300,33,1.141179351396458,0.6511672850578062
lstm,300,34,1.1404158658878778,0.6528358459472656
lstm,300,35,1.1369051318014822,0.6924581220073085
lstm,300,36,1.1388277597324823,0.7371089073919481
lstm,300,37,1.1416430396418418,0.7494796014601185
lstm,300,38,1.140714688967633,0.7094569667693107
lstm,300,39,1.1345646791560675,0.7015505144673009
lstm,300,40,1.1306786062896892,0.690750737344065
lstm,300,41,1.1317108164551437,0.6693376110446069
lstm,300,42,1.1322621030192221,0.6531045975223664
lstm,300,43,1.1306583189195203,0.6543540339316091
lstm,300,44,1.129288282445682,0.6819944689350743
lstm,300,45,1.1305447079802071,0.7160136930404171
lstm,300,46,1.1324520034174765,0.7326789363738029
lstm,300,47,1.1322094009768577,0.7293220027800529
lstm,300,48,1.1315872297492078,0.7250041346396169
lstm,300,49,1.130941165390835,0.7230679911951865
lstm,300,50,1.1305055925923009,0.7224751134072581
lstm,300,51,1.1296318090090187,0.7224751134072581
lstm,300,52,1.1290623116236862,0.715455086000504
lstm,300,53,1.1289249812403033,0.7009029388427734
lstm,300,54,1.1288413206736247,0.6791447670229019
lstm,300,55,1.1264488594506377,0.6567163775044103
lstm,300,56,1.1281531831269622,0.6416292498188634
lstm,300,57,1.1271118374281033,0.6484064286754977
lstm,300,58,1.124971382079586,0.6733287688224546
lstm,300,59,1.121368703021798,0.6951229956842238
lstm,300,60,1.128104716218928,0.7465330554592994
lstm,300,61,1.1269749185090423,0.7206144025248866
lstm,300,62,1.1209160448402486,0.6640207844395791
lstm,300,63,1.1172216105204757,0.6530611591954385
lstm,300,64,1.1169420275636899,0.6554561738044985
lstm,300,65,1.1123209794362385,0.6839780499858241
lstm,300,66,1.1101408735398324,0.6781531918433404
lstm,300,67,1.1099083603069346,0.6600645126834992
lstm,300,68,1.1075796606720134,0.6635340413739604
lstm,300,69,1.106507691003943,0.6597704733571699
lstm,300,70,1.1071579738329815,0.661376707015499
lstm,300,71,1.104019243230102,0.6606844009891633
lstm,300,72,1.1040327164434618,0.6677767845892137
lstm,300,73,1.1038470498977169,0.6730049502465033
lstm,300,74,1.1047816366277716,0.674346923828125
lstm,300,75,1.1041481251357703,0.6752591286936114
lstm,300,76,1.1024880691241192,0.6752591286936114
lstm,300,77,1.1032911603168776,0.6778528151973602
lstm,300,78,1.1028253096406178,0.6803329836937689
lstm,300,79,1.1027454112165718,0.6760965162707914
lstm,300,80,1.102341426316128,0.6656469529674899
lstm,300,81,1.1003479573034471,0.6854350797591671
lstm,300,82,1.1000043948491414,0.6759139645484186
lstm,300,83,1.097212806824715,0.6753146263860887
lstm,300,84,1.0959451852306243,0.6813469548379222
lstm,300,85,1.098085613660915,0.6423728696761593
lstm,300,86,1.0977928241093953,0.6235501074021862
lstm,300,87,1.0887031439811952,0.67295898929719
lstm,300,88,1.0898601214090984,0.7150609416346396
lstm,300,89,1.087183234512165,0.6734619140625
lstm,300,90,1.0842968533116002,0.6411530894617881
