model,seed,epoch,train_loss,validation_loss
lstm,200,1,1.1516829921353249,0.7369150961599042
lstm,200,2,1.1525306253023044,0.7238995951990927
lstm,200,3,1.1485612277061708,0.7042385839646862
lstm,200,4,1.147061933753311,0.6855374613115864
lstm,200,5,1.1507074076642272,0.6573679524083291
lstm,200,6,1.1502220399918095,0.6389221683625252
lstm,200,7,1.1506535173744283,0.6517854505969632
lstm,200,8,1.1468829775369296,0.6804391184160786
lstm,200,9,1.1440441928884035,0.6895163136143838
lstm,200,10,1.1445449847047047,0.6803486731744581
lstm,200,11,1.144518897097598,0.6601593263687626
lstm,200,12,1.1484431874367498,0.6485867654123614
lstm,200,13,1.1467711951142998,0.647294690532069
lstm,200,14,1.1438354099950483,0.6546470888199345
lstm,200,15,1.1444776224833664,0.6841958568942162
lstm,200,16,1.140217810548762,0.6990372442430065
lstm,200,17,1.1410578784122263,0.6887518359768775
lstm,200,18,1.1401341435729817,0.6796819010088521
lstm,200,19,1.1403043423929522,0.6816219822052987
lstm,200,20,1.139628368039285,0.6683395139632686
lstm,200,21,1.1376544954956218,0.6627733784337198
lstm,200,22,1.138992396734094,0.6536816012474799
lstm,200,23,1.1410704043603712,0.6506172918504284
lstm,200,24,1.13962269982984,0.65183836413968
lstm,200,25,1.1390729270955569,0.6526116401918473
lstm,200,26,1.1390154156633603,0.6526116401918473
lstm,200,27,1.1395211745333929,0.6588396256969821
lstm,200,28,1.1397723895247265,0.6710852346112651
lstm,200,29,1.138113784533675,0.6833736050513483
lstm,200,30,1.1398398414734872,0.7083991266066029
lstm,200,31,1.1389917519784742,0.7222062387774068
lstm,200,32,1.1391771942056634,0.7222683814264113
lstm,200,33,1.138258457183838,0.6936747643255419
lstm,200,34,1.13614333316844,0.6666043189264113
lstm,200,35,1.1363118989493257,0.6814781927293346
lstm,200,36,1.1330536386018157,0.6746701886576991
lstm,200,37,1.134378953646588,0.6656096673780872
lstm,200,38,1.1329177669299546,0.6885764214300341
lstm,200,39,1.1290191014607747,0.7128904404178742
lstm,200,40,1.1325820645978373,0.7168779065532069
lstm,200,41,1.1335823125736688,0.6858555578416393
lstm,200,42,1.1293102656641314,0.680146002000378
lstm,200,43,1.1276779443986955,0.6656136051301034
lstm,200,44,1.1279775852798133,0.6609011619321762
lstm,200,45,1.1270840488454348,0.6650513679750504
lstm,200,46,1.1267892724724227,0.671586190500567
lstm,200,47,1.1267093548210718,0.6718402985603579
lstm,200,48,1.1247118506380307,0.672440682688067
lstm,200,49,1.1266616557234077,0.6717481305522304
lstm,200,50,1.1265307305961527,0.67155271960843
lstm,200,51,1.1254309300453431,0.67155271960843
lstm,200,52,1.124447839234465,0.6738503979098412
lstm,200,53,1.1256791026361528,0.6706518973073652
lstm,200,54,1.1262898329765565,0.6654225626299458
lstm,200,55,1.1265825084460679,0.6633677328786542
lstm,200,56,1.1250137218865015,0.6588614679151966
lstm,200,57,1.1228025344110304,0.6665782313193044
lstm,200,58,1.122630710242897,0.6884379233083417
lstm,200,59,1.1224022321803595,0.7002744367045741
lstm,200,60,1.1204891409925235,0.6749831784156061
lstm,200,61,1.1193397404045187,0.6498394627724925
lstm,200,62,1.1186895806302306,0.6801503704440209
lstm,200,63,1.1165305824689968,0.6867731155887726
lstm,200,64,1.1157917937924784,0.6837449842883695
lstm,200,65,1.1133133685717018,0.6492181593371976
lstm,200,66,1.1129758652820383,0.6470278463056011
lstm,200,67,1.1124760079127487,0.6381670428860572
lstm,200,68,1.1083975402257775,0.6725684135190902
lstm,200,69,1.1086205167155112,0.7093060401178175
lstm,200,70,1.1095633647775138,0.7196241809475806
lstm,200,71,1.1098200531416043,0.7181392177458732
lstm,200,72,1.1087241070244902,0.7153210793772051
lstm,200,73,1.1079243831737067,0.7113050030123803
lstm,200,74,1.106066926833122,0.7062019225089781
lstm,200,75,1.1067206718588387,0.7048765613186744
lstm,200,76,1.107595633434993,0.7048765613186744
lstm,200,77,1.1065520881324686,0.6919819616502331
lstm,200,78,1.105983579030601,0.6683198867305633
lstm,200,79,1.1044785579045613,0.6423915739982359
lstm,200,80,1.1033980423404324,0.6279877693422379
lstm,200,81,1.1033713343322917,0.644027586906187
lstm,200,82,1.1016128524657218,0.6914389825636341
lstm,200,83,1.0994061218794955,0.6975957808956024
lstm,200,84,1.097906115234539,0.6785330003307711
lstm,200,85,1.09705420847862,0.6705691429876512
lstm,200,86,1.0959816543004846,0.6393862078266759
lstm,200,87,1.093627784200894,0.683746091781124
lstm,200,88,1.0946109205163934,0.7053142055388419
lstm,200,89,1.0901669891931678,0.6517057111186366
lstm,200,90,1.0866400221342682,0.626921622983871
lstm,200,91,1.0836773918521019,0.65432616203062
lstm,200,92,1.0821946718359505,0.6767079753260459
lstm,200,93,1.081189178651379,0.7003279655210434
lstm,200,94,1.0814207811509409,0.7054440283006237
lstm,200,95,1.0776936020902408,0.6707064720892137
lstm,200,96,1.0750516755606538,0.6347188641948085
lstm,200,97,1.0730302897832726,0.6290291201683783
lstm,200,98,1.0729184060968378,0.6298289145192792
lstm,200,99,1.072004618183259,0.6316097628685736
lstm,200,100,1.0734370382883216,0.6323096367620653
lstm,200,101,1.0725138661681966,0.6323096367620653
lstm,200,102,1.0727056316150132,0.6408772622385333
lstm,200,103,1.0716933165827105,0.6492740261939264
lstm,200,104,1.068006178384186,0.6537898279005482
lstm,200,105,1.0686216469733947,0.6572775071667086
lstm,200,106,1.0662067314629913,0.6324042043378276
lstm,200,107,1.067730769034355,0.6066143281998173
lstm,200,108,1.0702986730042325,0.6089739645681074
lstm,200,109,1.0630039591943063,0.6633950510332661
lstm,200,110,1.058191898048565,0.6532886259017452
lstm,200,111,1.050410952619327,0.6181915037093624
lstm,200,112,1.050585930065442,0.6082348977365801
lstm,200,113,1.0504362083250476,0.7009778176584551
lstm,200,114,1.0446622871583509,0.6959447553080897
lstm,200,115,1.037204707822492,0.6349009236981792
lstm,200,116,1.0370217523267191,0.575759518531061
lstm,200,117,1.0335339435967066,0.5833509506717804
lstm,200,118,1.020861897417294,0.6406220466859879
lstm,200,119,1.025172258577039,0.6856577473302041
lstm,200,120,1.0260390081713278,0.6650245420394405
lstm,200,121,1.0181879901116895,0.6283247547764932
lstm,200,122,1.0180125146783807,0.6081742317445816
lstm,200,123,1.0209974435067946,0.6100087319650958
lstm,200,124,1.0161119994296823,0.6100670599168346
lstm,200,125,1.0159322754029305,0.6105773679671749
lstm,200,126,1.0180867480975326,0.6105773679671749
lstm,200,127,1.0168230341326805,0.6154032061176915
lstm,200,128,1.016527545067572,0.6263189008159022
lstm,200,129,1.018836357260263,0.6577689878402218
lstm,200,130,1.0235492247407154,0.6822554065335181
lstm,200,131,1.022205627092751,0.6427379731209047
lstm,200,132,1.0121444521411773,0.6025060838268649
lstm,200,133,1.0102325229234592,0.5815710252331149
lstm,200,134,1.0184089996481454,0.5788352720199093
lstm,200,135,1.0072636924764162,0.6467268543858682
lstm,200,136,1.0044536161166366,0.6473671697801159
lstm,200,137,0.9989773393959127,0.5680186363958544
lstm,200,138,1.0053866358213528,0.5830140882922757
lstm,200,139,0.9974256959012759,0.6831940681703629
lstm,200,140,1.011736491675018,0.7254046163251323
lstm,200,141,0.9905624960058479,0.6008129119873047
lstm,200,142,0.9953328550502818,0.518554933609501
lstm,200,143,1.0067832521212998,0.5403948137837071
lstm,200,144,0.9817576998023576,0.6280092423962008
lstm,200,145,0.9751493610361571,0.6815042803364415
lstm,200,146,0.9851178469196442,0.6936105297457787
lstm,200,147,0.9866409058211952,0.6795575541834677
lstm,200,148,0.9828225835677116,0.6552995866344821
lstm,200,149,0.9754780152792571,0.6447798821233934
lstm,200,150,0.977211332449349,0.6421230070052608
lstm,200,151,0.9778006563904464,0.6421230070052608
lstm,200,152,0.9753545176598334,0.6047705373456401
lstm,200,153,0.9726769129435221,0.5737436971356792
lstm,200,154,0.9749725992961596,0.5660646500126008
lstm,200,155,0.9717321844511134,0.586869393625567
lstm,200,156,0.9682940795857419,0.6154418453093498
lstm,200,157,0.9710774229418847,0.6109149686751827
lstm,200,158,0.9715206994805284,0.6443368850215789
lstm,200,159,0.9689821735505135,0.5720468336536039
lstm,200,160,0.9684270203754466,0.6002409535069619
lstm,200,161,0.9660186447123046,0.6088439572241998
lstm,200,162,0.956356817676175,0.6426428517987651
lstm,200,163,0.957596690424027,0.6066098982287992
lstm,200,164,0.956963869192267,0.5434158079085811
lstm,200,165,0.9580671402715868,0.6034119513727003
lstm,200,166,0.9554070259935112,0.6321359449817289
lstm,200,167,0.9452731429889638,0.5906412678380166
lstm,200,168,0.9431567967578929,0.5933781900713521
lstm,200,169,0.9461949576613724,0.6177195887411794
