model,seed,epoch,train_loss,validation_loss
lstm,400,1,1.1675312134527391,0.7968460821336315
lstm,400,2,1.1654503473671534,0.7797022788755356
lstm,400,3,1.1606676668249152,0.746354503016318
lstm,400,4,1.1509389582500662,0.7003865395822833
lstm,400,5,1.1488073359253586,0.6589864915417086
lstm,400,6,1.154912724289843,0.6236434444304435
lstm,400,7,1.160521525208668,0.6067796522571195
lstm,400,8,1.1570100822756368,0.627105220671623
lstm,400,9,1.1533701509557746,0.6770682796355216
lstm,400,10,1.1506158690298758,0.7402706761513987
lstm,400,11,1.1556409520487632,0.7740079202959614
lstm,400,12,1.1563717793392878,0.7481636539582284
lstm,400,13,1.1530324771840086,0.6895187747093939
lstm,400,14,1.1448316997097385,0.6678633536061933
lstm,400,15,1.1459341728559105,0.6680900204566217
lstm,400,16,1.144876048129092,0.6808634111958165
lstm,400,17,1.1441963911056519,0.6931389839418473
lstm,400,18,1.1429198595785326,0.7061893709244267
lstm,400,19,1.1441491342359973,0.7065961899295929
lstm,400,20,1.1448692326904626,0.7085362095986644
lstm,400,21,1.1445349788153043,0.7058861024918095
lstm,400,22,1.1434934421252179,0.7040056413219821
lstm,400,23,1.144040673009811,0.701463145594443
lstm,400,24,1.1432913105974916,0.7002911721506426
lstm,400,25,1.142876640442879,0.6997606215938446
lstm,400,26,1.1427422967008365,0.6997606215938446
lstm,400,27,1.1441875324454358,0.695039564563382
lstm,400,28,1.1414535673715736,0.6846187960716986
lstm,400,29,1.141797056121211,0.682189449187248
lstm,400,30,1.1422876709250993,0.68217283679593
lstm,400,31,1.1432152742980628,0.6734229672339654
lstm,400,32,1.1424451367829436,0.6836937935121598
lstm,400,33,1.1412580884912962,0.6834491606681578
lstm,400,34,1.1421304607904086,0.7121370992352886
lstm,400,35,1.1433858435641053,0.7287634572675151
lstm,400,36,1.1419173812353483,0.7105447092363911
lstm,400,37,1.139206890136965,0.679061766593687
lstm,400,38,1.1363683528797601,0.6512500393775201
lstm,400,39,1.1421672259607623,0.6149939260175151
lstm,400,40,1.1491353357991865,0.5973596880512853
lstm,400,41,1.152264428395097,0.6137323687153478
lstm,400,42,1.1435235533663022,0.6366283047583795
lstm,400,43,1.1382531260931363,0.6617195990777784
lstm,400,44,1.135082109000093,0.6914443969726562
lstm,400,45,1.13549768411985,0.7070372796827747
lstm,400,46,1.136116691814956,0.7133775526477445
lstm,400,47,1.1373229436976935,0.7150965659849106
lstm,400,48,1.1363239121693436,0.7146124685964277
lstm,400,49,1.1356028177404915,0.7130321994904549
lstm,400,50,1.1364136075460782,0.712358167094569
lstm,400,51,1.135995941777383,0.712358167094569
lstm,400,52,1.135482136921216,0.704864994172127
lstm,400,53,1.1347508904754475,0.6896793611588017
lstm,400,54,1.1350074109210764,0.6695308070028981
lstm,400,55,1.1335686522145425,0.6575032511065083
lstm,400,56,1.1346168966703518,0.6558152475664693
lstm,400,57,1.1335574375685824,0.6726757172615297
lstm,400,58,1.1330247130445255,0.7020602687712638
lstm,400,59,1.1329514672679286,0.710618665141444
lstm,400,60,1.1327893169977332,0.684706287999307
lstm,400,61,1.1317331355105165,0.6465201839323966
lstm,400,62,1.1307218523435696,0.6662108513616747
lstm,400,63,1.1298532857689807,0.6601727393365675
lstm,400,64,1.1286162804531794,0.6704813434231666
lstm,400,65,1.126837517625542,0.6878883607925907
lstm,400,66,1.1283295692936066,0.7403552762923702
lstm,400,67,1.1320814060908493,0.7349660319666709
lstm,400,68,1.12846444114562,0.7172896477483934
lstm,400,69,1.1261393216348463,0.6962244587559854
lstm,400,70,1.123481508224241,0.6809673924599925
lstm,400,71,1.1218792981998895,0.6757791580692414
lstm,400,72,1.1219730851470784,0.6710458570911039
lstm,400,73,1.1215360818370697,0.6714910691784274
lstm,400,74,1.1219769177898284,0.6728925397319179
lstm,400,75,1.1216132089655886,0.6733830974948022
lstm,400,76,1.1202158274189118,0.6733830974948022
lstm,400,77,1.1219461028293898,0.6764771246141003
lstm,400,78,1.1218926483584988,0.6827577160250756
lstm,400,79,1.12108911109227,0.6915674517231603
lstm,400,80,1.1218349946442472,0.7017929323257939
lstm,400,81,1.1220706662824076,0.6963768005371094
lstm,400,82,1.1203051324813598,0.6852796000819052
lstm,400,83,1.117328918108376,0.6856536865234375
lstm,400,84,1.1160735340528591,0.6751823425292969
lstm,400,85,1.115258748813342,0.6616083575833228
lstm,400,86,1.1136241958987327,0.6632970994518649
lstm,400,87,1.116607779456723,0.6896779460291709
lstm,400,88,1.1122914334779144,0.6671536353326613
lstm,400,89,1.110758158468431,0.645704577046056
lstm,400,90,1.107256011296344,0.6834057838686051
