model,seed,epoch,train_loss,validation_loss
lstm,100,1,1.1662459899020452,0.7968275623936807
lstm,100,2,1.1636169584848548,0.7747855647917716
lstm,100,3,1.1563505818766933,0.7417480714859501
lstm,100,4,1.1542665996859152,0.6995161733319682
lstm,100,5,1.1488660304777083,0.6692044042771862
lstm,100,6,1.1475707472011607,0.6539097447549144
lstm,100,7,1.1509163892397316,0.6388100039574408
lstm,100,8,1.1514026003499185,0.6476253386466734
lstm,100,9,1.149398804992758,0.6698858199581024
lstm,100,10,1.1453016060654835,0.6838433050340221
lstm,100,11,1.1472355088879984,0.7115770770657447
lstm,100,12,1.14709004663652,0.6888789515341481
lstm,100,13,1.1432426847437376,0.6805207652430381
lstm,100,14,1.14360785612496,0.6893701245707851
lstm,100,15,1.1430690391089326,0.6614042097522367
lstm,100,16,1.1420344537304294,0.656905266546434
lstm,100,17,1.1423787878405662,0.6733031734343498
lstm,100,18,1.1413762300245223,0.6796804858792213
lstm,100,19,1.1401483845967118,0.6817318085701235
lstm,100,20,1.139269555768659,0.6753407139931956
lstm,100,21,1.1388543318676692,0.6711466389317666
lstm,100,22,1.1386848329215922,0.6757205840080015
lstm,100,23,1.1388929710593274,0.6772820257371471
lstm,100,24,1.1389643171782136,0.6793375322895665
lstm,100,25,1.1387168316430942,0.6798148616667716
lstm,100,26,1.1397341579519293,0.6798148616667716
lstm,100,27,1.140319255090529,0.6801804573305191
lstm,100,28,1.1385656518320884,0.6821380123015373
lstm,100,29,1.1382356625731274,0.6841611554545741
lstm,100,30,1.1375793808250017,0.6855504435877646
lstm,100,31,1.1373807935304538,0.6848999761766003
lstm,100,32,1.136136148565559,0.6748948251047442
lstm,100,33,1.135429761743033,0.6543208706763483
lstm,100,34,1.136114840866417,0.6435242929766255
lstm,100,35,1.1376497937786965,0.6506007409864857
lstm,100,36,1.135553853486174,0.6424407958984375
lstm,100,37,1.1356957176680207,0.6258894397366431
lstm,100,38,1.138168937416487,0.6201699779879662
lstm,100,39,1.1373975584583897,0.6429157872353831
lstm,100,40,1.131562179134738,0.6551320475916709
lstm,100,41,1.1290362945166967,0.6579163459039503
lstm,100,42,1.1304067514275993,0.6479594938216671
lstm,100,43,1.1290610554397746,0.6595350696194556
lstm,100,44,1.1274965155509211,0.6595265173142956
lstm,100,45,1.1263049635835873,0.6642916279454385
lstm,100,46,1.1267932320153842,0.6635994449738534
lstm,100,47,1.1250329684185725,0.6671036751039566
lstm,100,48,1.1246795141568748,0.6718880438035534
lstm,100,49,1.1238853226425827,0.6725793038645098
lstm,100,50,1.1237164569157425,0.6723536829794606
lstm,100,51,1.1246566926279375,0.6723536829794606
lstm,100,52,1.1240600001427434,0.6703731167700983
lstm,100,53,1.1240070981364096,0.6691457071611958
lstm,100,54,1.1239993815780969,0.6788609412408644
lstm,100,55,1.1237238619917183,0.6787475462882749
lstm,100,56,1.1225471060763124,0.6714598747991747
lstm,100,57,1.122191407347238,0.6530521761986517
lstm,100,58,1.120942768230233,0.6615066528320312
lstm,100,59,1.1195385789358487,0.6860945916944935
lstm,100,60,1.118854013822412,0.6741766160534274
lstm,100,61,1.114692780279344,0.6742802281533519
lstm,100,62,1.1129351277505197,0.6973747745636971
lstm,100,63,1.112067513568427,0.6955623011435231
lstm,100,64,1.1095643158881896,0.7031220466859879
lstm,100,65,1.1083557592925204,0.6998738934916835
lstm,100,66,1.1060384165856145,0.6893346232752646
lstm,100,67,1.1024284426883986,0.6555263150122858
lstm,100,68,1.100470676217028,0.6395503013364731
lstm,100,69,1.0985008093618578,0.6437892913818359
lstm,100,70,1.0988699723315496,0.650343987249559
lstm,100,71,1.0966143326092792,0.6733718995125063
lstm,100,72,1.0950580578978344,0.6878722406202747
lstm,100,73,1.0944825359570083,0.6933672505040323
lstm,100,74,1.0953942268125472,0.6945881997385333
lstm,100,75,1.094643509516152,0.6944481019050844
lstm,100,76,1.09422670384889,0.6944481019050844
lstm,100,77,1.0936946317713747,0.6858457749889743
lstm,100,78,1.0939015624343709,0.6615796242990801
lstm,100,79,1.0935718590213406,0.6497664913054435
lstm,100,80,1.090868729417042,0.6343140755930254
lstm,100,81,1.096478714737841,0.6084632873535156
lstm,100,82,1.095218155973701,0.6203062611241494
lstm,100,83,1.0902019687878188,0.6390908764254662
lstm,100,84,1.0880543140954868,0.6976660451581401
lstm,100,85,1.0839923453587357,0.7252219415480091
lstm,100,86,1.0844217487560806,0.6969362074329007
lstm,100,87,1.0787275798859135,0.610228753858997
lstm,100,88,1.0755477182326778,0.6033136921544229
lstm,100,89,1.0710416449013578,0.6579188069989604
lstm,100,90,1.0610137831780218,0.6511441507647114
lstm,100,91,1.0601435733097855,0.6967581472089214
lstm,100,92,1.0590462543631112,0.7184955227759576
lstm,100,93,1.0584678342265468,0.7073156910557901
lstm,100,94,1.051326230008115,0.6563440138293851
lstm,100,95,1.0446291623576995,0.6430133696525328
lstm,100,96,1.0459720274453521,0.6515925622755482
lstm,100,97,1.042625839351326,0.6629383948541456
lstm,100,98,1.0427013584362563,0.6660933956023185
lstm,100,99,1.0401328174016808,0.6663415970340851
lstm,100,100,1.0426477655287711,0.6658053244313886
lstm,100,101,1.0413353340600127,0.6658053244313886
lstm,100,102,1.0401663818667013,0.6589232413999496
lstm,100,103,1.0400830814915318,0.6528001600696195
lstm,100,104,1.0365802780274422,0.6476608399421938
lstm,100,105,1.0389319158369494,0.6691308790637601
lstm,100,106,1.0379967676695956,0.6966462904407132
lstm,100,107,1.0409917017464996,0.7283602068501134
lstm,100,108,1.0334015225851407,0.6541618224113218
lstm,100,109,1.024084315505079,0.613541756906817
lstm,100,110,1.0239600109797653,0.5965839509041079
lstm,100,111,1.0158096398076704,0.6903010952857233
lstm,100,112,1.0161121660663235,0.7242949701124622
lstm,100,113,1.0132471637059284,0.6853982248613911
lstm,100,114,0.999828726373693,0.623809568343624
lstm,100,115,1.0021075023117887,0.5948562622070312
lstm,100,116,1.0000227202651322,0.6645995109311996
lstm,100,117,0.9888795569378842,0.6999781208653604
