model,seed,cohort,n,n_positive,positive_rate,threshold,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,f2,mcc,regression_mae_days
vit,62,validation_all,24926,2087,0.08372783660888672,0.002373513120057231,0.5755193124648104,0.10347348011760839,0.09373313188552856,0.44250014424324036,0.36873144507742917,0.09630856601987695,0.780067081935793,0.1714496340371755,0.32235070489466183,0.06593441165533813,24.843324661254883
vit,62,test_all,17838,1875,0.10511267930269241,0.002373513120057231,0.5184767775480799,0.10551804139655377,0.1207020953297615,0.5694169998168945,0.326381881376836,0.11094912913373743,0.7712,0.19398980413200967,0.352116105780938,0.03134096858991151,27.224241256713867
vit,62,test_seen,11169,1131,0.1012624204158783,0.002373513120057231,0.5524722676288107,0.11082588782026935,0.11333470791578293,0.5376765727996826,0.35947712418300654,0.11166989039329465,0.7656940760389036,0.19491334683772227,0.3526345793631403,0.051995241978418934,26.31312370300293
vit,62,test_new,6669,744,0.11156095564365387,0.002373513120057231,0.45864547888026863,0.09897997728106223,0.13304074108600616,0.6225748658180237,0.2709551656920078,0.10989010989010989,0.7795698924731183,0.19262703420790436,0.3513448025199903,-0.0103380123228441,28.609291076660156
vit,62,test_bullpen,10947,1042,0.09518589824438095,0.002373513120057231,0.5034124567266188,0.09255633178818136,0.10458271950483322,0.5067099928855896,0.3096738832556865,0.09778985059883936,0.7600767754318618,0.17328519855595667,0.32281731474688186,0.014962810887967467,27.441823959350586
vit,62,test_starter,6891,833,0.1208823099732399,0.002373513120057231,0.5371957630856898,0.1256007143450791,0.14630921185016632,0.6690330505371094,0.3529241039036424,0.13254965545196595,0.7851140456182473,0.22680769897693775,0.3955964190660537,0.056829171110938125,26.952070236206055
