model,cohort,n,n_positive,positive_rate,threshold,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,f2,mcc
stack_ensemble,validation_all,24926,2087,0.0837278343897938,0.06603335733809709,0.6330234434315347,0.12700389399629286,0.07549022506969076,0.27958966632217847,0.46345181737944313,0.10909468726189651,0.7546717776712986,0.1906318082788671,0.3456221198156682,0.10744614775389356
stack_ensemble,test_all,17838,1875,0.10511268079381096,0.06603335733809709,0.557969304015536,0.12900331987019723,0.09419148281619044,0.33783600342122094,0.3818253167395448,0.11764705882352941,0.7509333333333333,0.2034241132702449,0.36161906718717896,0.05835563443389777
stack_ensemble,test_seen,11169,1131,0.10126242277733011,0.06603335733809709,0.5899527859562487,0.1370432013925587,0.09041751282936175,0.3252717446456169,0.41686811710985766,0.11937765205091938,0.7462422634836428,0.20582855749298867,0.36398136967396927,0.07886312378108502
stack_ensemble,test_new,6669,744,0.11156095366621682,0.06603335733809709,0.49763350120230476,0.11848917152313329,0.10051199125567006,0.35887816960276553,0.3231369020842705,0.11514904042466313,0.7580645161290323,0.1999291031549096,0.35814071628143257,0.018953661391784424
stack_ensemble,test_bullpen,10947,1042,0.09518589567918151,0.06603335733809709,0.5600200949325695,0.1138568612434823,0.08617671777740547,0.3147316851591892,0.39453731615967846,0.109151973131822,0.7485604606525912,0.19052271617000488,0.3447056743857168,0.06525158058190751
stack_ensemble,test_starter,6891,833,0.12088231025975911,0.06603335733809709,0.5496035324000844,0.14940944708479661,0.10692368900971515,0.3745393805819322,0.36163111304600204,0.13023641642472003,0.7539015606242497,0.22210433244916003,0.3850870738287957,0.04380571436833528
