epoch,loss,val_pr_auc
1,1.1940353865629538,0.12083696476706901
2,1.056330452727747,0.11225127542271354
3,0.8927748804942488,0.11257845426913263
4,0.7503439697499067,0.1053405287858039
5,0.6527545725281722,0.10497022848089066
6,0.571013315092111,0.10272637793883906
7,0.5178180862576263,0.10210689774677954
8,0.4717063718979348,0.10318027442069135
9,0.43724819072576915,0.09773389671695037
10,0.4056669404465303,0.10295787519603568
11,0.38026664593799975,0.10345355055206674
12,0.364871114146837,0.09444054711224495
13,0.3541048314685177,0.09295307689849411
