feature,importance
days_since_last_arm_il,111
season_apps,105
season_outs,63
rest_std_100d,51
rest_mean_100d,48
age,42
career_outs,35
ext_100d,30
season_pitches,29
career_apps,28
past_arm_il_count,21
career_pitches,19
fb_share_100d,17
apps_100d,17
velo_60d,14
career_start_frac,14
velo_100d,12
velo_28d,11
ext_60d,11
acwr_pitches_14_60,11
fb_share_60d,10
ext_28d,8
spin_delta_14_100,8
start_frac_28d,8
outs_100d,7
apps_60d,7
outs_28d,7
fb_share_14d,7
start_frac_14d,7
outs_60d,6
apps_14d,6
ext_14d,6
fb_share_28d,5
spin_100d,5
apps_28d,4
velo_14d,4
acwr_outs_7_28,4
fb_share_7d,3
spin_7d,3
pitches_14d,3
spin_60d,3
pitches_28d,3
p_throws,3
pitches_60d,3
ext_delta_14_100,2
velo_7d,2
fb_share_delta_14_100,2
ext_7d,2
outs_14d,2
velo_delta_14_100,2
acwr_pitches_7_28,2
spin_28d,2
start_frac_60d,2
pitches_100d,1
spin_14d,1
start_frac_7d,1
start_frac_100d,0
short_rest_count_30d,0
apps_7d,0
outs_7d,0
pitches_7d,0
role,0
