feature,importance
lag00_plate_x,0.0011554253
lag45_velo_SI,0.0011552562
lag00_velo_SI,0.0011545932
lag45_usage_CB,0.001153605
lag50_velo_SL,0.001152198
lag25_velo_CH,0.0011519899
lag25_spin_CB,0.0011519238
lag40_extension,0.0011486178
lag85_spin_CB,0.0011477382
lag65_extension,0.0011425145
lag85_usage_SI,0.0011406082
lag10_usage_FB,0.001137502
lag40_velo_CB,0.0011343211
lag05_age,0.0011330222
lag05_n_batters_faced,0.0011324798
lag15_days_since_prev_game,0.0011323474
lag90_spin_FB,0.0011323453
lag15_plate_z,0.001131615
lag75_spin_CB,0.0011310854
lag05_days_since_prev_game,0.0011300291
lag45_plate_z,0.0011299391
lag65_velo_CH,0.001128075
lag25_usage_SL,0.0011277567
lag35_velo_CH,0.001124303
lag50_spin_CH,0.0011217227
lag50_velo_SI,0.0011214053
lag00_usage_CT,0.0011169094
lag20_usage_SI,0.0011090704
lag70_plate_x,0.0011087453
lag05_usage_CT,0.0011073906
lag05_velo_SP,0.0011063152
lag40_velo_CH,0.0011043051
lag10_velo_CH,0.0011043021
lag75_spin,0.0011020254
lag05_usage_SL,0.0011013107
lag00_velo_CT,0.0010989655
lag00_spin_CT,0.0010977341
lag05_outs_recorded,0.0010975788
lag70_extension,0.0010962737
lag10_usage_SI,0.0010952691
lag15_n_pitches,0.0010940768
lag65_age,0.0010894082
lag40_velo,0.0010893925
lag15_spin_CT,0.0010869657
lag70_velo_CB,0.0010857772
lag30_velo_CB,0.0010837539
lag90_usage_SL,0.0010832769
lag70_velo_SL,0.0010820846
lag60_usage_SL,0.001082017
lag00_spin,0.0010816241
lag35_usage_FB,0.0010806929
lag00_extension,0.0010783619
lag55_spin_CT,0.0010779505
lag60_spin_SI,0.0010751178
lag05_extension,0.0010744934
lag30_usage_FB,0.0010716564
lag65_spin_CB,0.0010701854
lag55_velo_SP,0.0010688473
lag60_usage_CB,0.0010667648
lag30_spin_SL,0.001064569
lag10_spin,0.0010636706
lag75_usage_SL,0.0010581074
lag45_velo_CB,0.0010564299
lag05_velo_FB,0.0010560838
lag70_spin_CH,0.0010560625
lag90_age,0.0010539569
lag35_velo_SP,0.0010463996
lag20_spin_CB,0.0010432742
lag20_velo,0.0010418044
lag45_velo_CT,0.0010377325
lag20_velo_SI,0.0010359567
lag15_spin,0.0010346213
lag05_velo_CH,0.0010329632
lag15_outs_recorded,0.0010319131
lag25_velo_SI,0.0010316345
lag20_spin,0.0010314467
lag50_spin_FB,0.0010279575
lag15_velo_CT,0.0010256909
lag55_spin_CH,0.0010241725
lag75_velo_CT,0.0010240603
lag25_n_batters_faced,0.0010235454
lag00_spin_FB,0.0010235353
lag15_velo_FB,0.0010232087
lag05_spin_CT,0.0010175138
lag05_velo_CB,0.001017212
lag50_velo_CT,0.0010139932
lag45_spin_CB,0.0010103328
lag45_velo_SP,0.0010094715
lag30_age,0.0010088022
lag50_usage_FB,0.0010068846
lag75_n_batters_faced,0.001006373
lag25_spin_SI,0.0009999195
lag05_velo_SI,0.0009968877
lag35_spin_SL,0.0009931296
lag60_velo_SL,0.0009889079
lag45_spin_FB,0.0009884809
lag15_usage_SI,0.000976945
lag35_spin_CB,0.0009762869
lag90_days_since_prev_game,0.0009762511
lag90_spin_SL,0.0009749934
lag05_spin_FB,0.0009737444
lag20_usage_FB,0.00097065454
lag40_is_start,0.00096047483
lag40_spin_CH,0.000959495
lag00_spin_SL,0.0009586532
lag05_usage_FB,0.00095825386
lag10_spin_CB,0.00095741305
lag20_usage_SL,0.0009480113
lag95_spin_CH,0.00094766385
lag05_spin_CH,0.0009413918
lag30_usage_SL,0.00093938404
lag20_extension,0.0009371036
lag25_plate_x,0.00093677995
lag25_spin_SL,0.0009358966
lag80_usage_CB,0.0009325618
lag05_usage_SI,0.0009310419
lag15_usage_FB,0.0009255154
lag05_plate_z,0.0009234131
lag65_plate_z,0.0009220375
lag20_spin_CT,0.0009200267
lag90_velo_CH,0.0009161173
lag70_usage_CB,0.00091558875
lag35_usage_CT,0.00091535196
lag05_plate_x,0.00091516157
lag50_velo_CH,0.00091415213
lag30_outs_recorded,0.0009134478
lag80_velo_CB,0.00091335917
lag05_spin_SI,0.0009130735
lag15_velo_CB,0.0009122453
lag15_spin_CH,0.00090902013
lag00_usage_SL,0.0009077993
lag25_velo_SL,0.000907643
lag85_usage_CB,0.00090699614
lag20_spin_SI,0.00090631214
lag90_velo_CB,0.00089858146
lag50_plate_x,0.0008981565
lag55_spin_SL,0.000898138
lag65_velo_CB,0.00089597085
lag90_velo,0.00089218986
lag35_spin_SI,0.0008907938
lag00_velo,0.00088979217
lag00_n_pitches,0.0008887306
lag45_velo,0.00088856055
lag20_spin_SL,0.00088570814
lag50_usage_CH,0.0008850769
lag10_n_batters_faced,0.00088461454
lag70_spin_CB,0.00088333513
lag50_spin_CB,0.000881309
lag90_n_pitches,0.0008812616
lag15_usage_CH,0.0008786815
lag10_velo_CT,0.00087861717
lag80_spin_SI,0.00087405444
lag70_velo_FB,0.0008723172
lag55_n_pitches,0.00087090995
lag40_usage_CB,0.0008661654
lag10_spin_CH,0.0008639631
lag65_velo_SL,0.0008598932
lag50_n_batters_faced,0.0008596707
lag75_n_pitches,0.00085915666
lag45_usage_SL,0.0008580611
lag75_outs_recorded,0.00085026794
lag05_spin,0.0008496487
lag55_plate_z,0.0008466108
lag35_spin_CT,0.00084601087
lag95_n_batters_faced,0.000844982
lag40_spin,0.000843964
lag10_plate_x,0.0008404948
lag50_n_pitches,0.0008368408
lag50_spin,0.000831654
lag75_spin_CH,0.00082900317
lag55_velo_FB,0.0008270415
lag00_spin_SI,0.0008247915
lag15_velo_CH,0.00082416827
lag95_velo_SL,0.00082405464
lag10_n_pitches,0.0008234496
lag30_n_pitches,0.0008228514
lag40_days_since_prev_game,0.0008214832
lag15_spin_SL,0.00081964134
lag30_usage_SP,0.0008130123
lag20_usage_CT,0.00080668344
lag65_velo_FB,0.0008048415
lag45_spin_SL,0.0008020333
lag35_usage_SI,0.0008011605
lag00_usage_SI,0.0007975193
lag45_usage_CH,0.00078869826
lag40_spin_FB,0.00078645936
lag15_extension,0.00078198593
lag50_extension,0.0007780119
lag30_spin_SI,0.0007765313
lag10_spin_SI,0.000776068
lag10_extension,0.0007731553
lag25_spin,0.0007657658
lag30_days_since_prev_game,0.0007653205
lag55_usage_SL,0.0007631327
lag15_usage_CT,0.00076005736
lag50_spin_SL,0.0007574108
lag20_velo_SP,0.0007545652
lag20_plate_z,0.0007518627
lag90_spin_SI,0.0007515074
lag70_usage_CH,0.0007501953
lag40_velo_SL,0.0007466353
lag75_usage_SI,0.0007425689
lag25_velo_CB,0.00074089004
lag00_usage_CB,0.0007332037
lag05_velo,0.00073303375
lag15_velo,0.00073042465
lag40_spin_SL,0.00072761485
lag15_spin_FB,0.000726176
lag25_spin_CH,0.00072310865
lag05_n_pitches,0.0007210812
lag25_age,0.00071968837
lag50_velo_CB,0.0007175768
lag45_spin_SI,0.00071589893
lag85_plate_x,0.0007133422
lag55_spin,0.0007113146
lag55_velo_SL,0.00070995896
lag55_velo_CT,0.0007090879
lag55_outs_recorded,0.00070820353
lag10_spin_SL,0.0007080801
lag10_outs_recorded,0.0007072888
lag05_usage_CB,0.0007037585
lag20_plate_x,0.0007022464
lag35_usage_CB,0.0006992073
lag40_usage_FB,0.00069553516
lag60_usage_SI,0.0006926462
lag65_spin_SL,0.0006875185
lag15_plate_x,0.00068665255
lag60_extension,0.0006842977
lag25_spin_CT,0.00068348704
lag55_spin_CB,0.0006829237
lag25_days_since_prev_game,0.0006821084
lag25_usage_SI,0.0006807649
lag65_spin_CT,0.0006740924
lag15_usage_CB,0.0006711362
lag15_velo_SI,0.0006671642
lag95_spin_CB,0.00066433917
lag65_spin_SI,0.0006610312
lag10_spin_FB,0.0006595739
lag70_spin,0.0006587638
