epoch,loss,val_pr_auc
1,1.216403746480065,0.1201133362061707
2,1.135177603877009,0.12060887673963544
3,1.0519558500510517,0.11588901304850903
4,0.9714319414338703,0.11087108717393938
5,0.8989275388178279,0.11529355539269136
6,0.8327963299907172,0.11666944328470122
7,0.7925650386470698,0.11510855492759071
8,0.7459988150438231,0.1128553577836714
9,0.7001379644272349,0.11451514109546646
10,0.6708210484946935,0.11667112396377868
11,0.6351662013011158,0.11076071654137101
12,0.603549431606747,0.10736917696984354
13,0.5677109812084021,0.10988573468542484
14,0.5344961893516587,0.1108514067234529
