model,seed,cohort,n,n_positive,positive_rate,threshold,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,f2,mcc,regression_mae_days
resnet,52,validation_all,24926,2087,0.08372783660888672,0.06652961919705074,0.614146822595778,0.1208369523071138,0.07574929296970367,0.2815186083316803,0.4023108400866565,0.10067950875880556,0.7738380450407283,0.1781774051191527,0.33109188568617,0.0822341917952405,23.60603904724121
resnet,52,test_all,17838,1875,0.10511267930269241,0.06652961919705074,0.5747324354235838,0.13632167864895092,0.09367524087429047,0.3351062834262848,0.33703329969727547,0.11771033422973493,0.8170666666666667,0.20577568838146407,0.3733853278089203,0.06747476468383101,25.611583709716797
resnet,52,test_seen,11169,1131,0.1012624204158783,0.06652961919705074,0.6010851514025659,0.1485013832602775,0.08997701853513718,0.32337814569473267,0.3484644999552332,0.11731008717310087,0.8328912466843501,0.205654404540989,0.3751792257447825,0.08508114795533456,24.89131736755371
resnet,52,test_new,6669,744,0.11156095564365387,0.06652961919705074,0.5316940020870197,0.11946430712610594,0.09986890852451324,0.3547481596469879,0.31788873894137054,0.11835506519558676,0.793010752688172,0.20596962820736603,0.3705564627559352,0.03712994294193132,26.706501007080078
resnet,52,test_bullpen,10947,1042,0.09518589824438095,0.06652961919705074,0.5840323766763136,0.1252974771075403,0.08552289009094238,0.3111165165901184,0.3376267470539874,0.10875866414618778,0.8282149712092131,0.19226913222680184,0.35652317607204825,0.07506689303986225,25.31743049621582
resnet,52,test_starter,6891,833,0.1208823099732399,0.06652961919705074,0.5590594441804454,0.15289231115331237,0.10662602633237839,0.37321630120277405,0.33609055289508055,0.13169291338582678,0.8031212484993998,0.22628107559614408,0.39764621968616265,0.055541508341732146,25.979536056518555
