model,cohort,n,n_positive,positive_rate,threshold,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,f2,mcc
xgboost_weighted,validation_all,24926,2087,0.0837278343897938,0.07355986546837923,0.6098769174265902,0.1183136053571554,0.07583696395158768,0.28192105889320374,0.4267431597528685,0.10444761410788382,0.7719214183037854,0.18399862943292788,0.3388440181726401,0.09530791153595088
xgboost_weighted,test_all,17838,1875,0.10511268079381096,0.07355986546837923,0.5603135918478147,0.12613022946539623,0.09394758939743042,0.33592891693115234,0.3416302276039915,0.1161415791520809,0.7962666666666667,0.20271554650373388,0.3667403586342422,0.057757847263519055
xgboost_weighted,test_seen,11169,1131,0.10126242277733011,0.07355986546837923,0.5941896919028646,0.13661249470058934,0.09025765210390091,0.3237209916114807,0.38159190616886024,0.117787188988883,0.7869142351900973,0.20490387935996315,0.36837748344370863,0.07921486940323086
xgboost_weighted,test_new,6669,744,0.11156095366621682,0.07355986546837923,0.49761886937979216,0.10990035297039628,0.10012736171483994,0.3563743233680725,0.2747038536512221,0.1137950556708813,0.8104838709677419,0.19956975012411055,0.36435045317220544,0.01395628233873645
xgboost_weighted,test_bullpen,10947,1042,0.09518589567918151,0.07355986546837923,0.5493523405170617,0.11250357632713523,0.08607020974159241,0.31418377161026,0.33178039645564994,0.10462624480020169,0.7965451055662188,0.18495821727019499,0.34294686389554585,0.052187822595979885
xgboost_weighted,test_starter,6891,833,0.12088231025975911,0.07355986546837923,0.5740610869636729,0.14867211638913733,0.1064615473151207,0.37047311663627625,0.3572776084748222,0.1347013409183259,0.7959183673469388,0.23040834057341442,0.4016234552944027,0.06702250282328623
