epoch,loss,val_pr_auc
1,0.08712386401995695,0.10341202472496314
2,0.08236017621573714,0.0969819771292294
3,0.08678940069851468,0.10347348011760839
4,0.09087666096305472,0.09721210940237213
5,0.0751431331417048,0.09486858556279594
6,0.061940404009211754,0.09683745366536818
7,0.04640876122306818,0.09719572293283579
8,0.036302193652365165,0.09243963985057921
9,0.028934888984837016,0.09206252147796753
10,0.023126246437174616,0.08920245972557021
11,0.02003863476328758,0.08818144603802971
12,0.0173897680602749,0.09029392229655826
13,0.014405368087300925,0.09167179911008305
14,0.015449507468754032,0.09494118566330653
15,0.016046831529528894,0.09825497157198647
