epoch,loss,val_pr_auc
1,1.215432180162053,0.11821458610135178
2,1.1196239895869489,0.1057466244933409
3,1.0504297625200727,0.12123952288597842
4,0.9634883053061796,0.11494168464894204
5,0.8967135104341479,0.11322668332558615
6,0.8525823651910444,0.1122531502014746
7,0.800804216467363,0.11531307467195855
8,0.7508422638431416,0.11100273753634847
9,0.6989825798720155,0.10961418289697364
10,0.6722949296844704,0.10892640601317591
11,0.6357693209219702,0.10589983481268864
12,0.6010914405777057,0.10738196729559288
13,0.5709499425370629,0.1070143421279706
14,0.547895065930766,0.10528841383867435
15,0.5142322841369821,0.10143148833113243
