epoch,loss,val_pr_auc
1,1.1917448969556905,0.12180982194923214
2,1.0442363534038261,0.11941048874722338
3,0.8940888532937986,0.10521270819123849
4,0.7558513606380326,0.10139425581325084
5,0.6506265495463246,0.09533116487639859
6,0.5731425146840046,0.09952688709562683
7,0.5084674582905354,0.09619610163002694
8,0.47769969604648005,0.09577500229486212
9,0.44056560407760764,0.10048908525913436
10,0.40360317754702674,0.09159544576115261
11,0.3881654423859193,0.09524450394624645
12,0.3670018638010611,0.09192269053494398
13,0.35177612710375433,0.08267934544452019
