epoch,loss,val_pr_auc
1,0.08662828743121133,0.10941546542274827
2,0.08237666035932316,0.10422728633303227
3,0.08984877943395933,0.09224444745571014
4,0.0938554054456987,0.09034340887859839
5,0.08150588298437404,0.10442683634841089
6,0.06392136028175312,0.08872748167020489
7,0.05510570479522153,0.09085974579208946
8,0.042304210412298676,0.0927325280533013
9,0.03586253850633396,0.09289212496499982
10,0.024727845663884952,0.08303814147058573
11,0.025570284801160262,0.09316525867198724
12,0.020030215932407835,0.0914002138780376
13,0.017571404089568532,0.08343658360896566
