model,seed,cohort,n,n_positive,positive_rate,threshold,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,f2,mcc,regression_mae_days
lstm,62,validation_all,24926,2087,0.08372783660888672,0.27968741682442755,0.6134128667552725,0.12060887673963544,0.19656924903392792,0.5611587762832642,0.4255395972077349,0.10347510373443983,0.7647340680402491,0.18228542059277025,0.33568904593639576,0.09083450815516736,24.906993865966797
lstm,62,test_all,17838,1875,0.10511267930269241,0.27968741682442755,0.5578563594980058,0.12736967114123615,0.22624218463897705,0.6337268948554993,0.3703329969727548,0.11717535389902627,0.7637333333333334,0.20317820658342792,0.36306475330865573,0.058014023372019836,27.04033660888672
lstm,62,test_seen,11169,1131,0.1012624204158783,0.27968741682442755,0.5815563986823545,0.1348572944213608,0.2088240683078766,0.5965763330459595,0.41570418121586533,0.11786372007366483,0.735632183908046,0.20317460317460317,0.35914702581369246,0.0721193991479448,26.969343185424805
lstm,62,test_new,6669,744,0.11156095564365387,0.27968741682442755,0.5094953722607867,0.11997345269523454,0.25541338324546814,0.6959453821182251,0.29434697855750486,0.1162340178225494,0.8064516129032258,0.2031832035218422,0.3686409437208159,0.02747161489092275,27.148258209228516
lstm,62,test_bullpen,10947,1042,0.09518589824438095,0.27968741682442755,0.5528119341033484,0.11676817606055594,0.2108764797449112,0.5991311073303223,0.3814743765415182,0.10915541001500886,0.7677543186180422,0.1911360649862621,0.34791684787335825,0.06774908060334563,27.106847763061523
lstm,62,test_starter,6891,833,0.1208823099732399,0.27968741682442755,0.5550059905110938,0.14179399576062557,0.2506520450115204,0.6886854767799377,0.35263387026556375,0.12919051512673754,0.758703481392557,0.22078602620087337,0.3842412451361868,0.039869348487694564,26.957134246826172
