epoch,loss,val_pr_auc
1,1.1968231953117,0.12162460121375566
2,1.0579732342674941,0.11513313335810405
3,0.9027244545022721,0.10490931940635151
4,0.7625136332584318,0.09712244345522654
5,0.6635388942746545,0.09825875634817144
6,0.5721100114399096,0.09243093480285135
7,0.5215642106774288,0.09764541994599585
8,0.47691475111678194,0.09217259197313254
9,0.4466910137559068,0.08934415473462955
10,0.41154009281246773,0.09074749108573511
11,0.3976923433578727,0.08758776108292314
12,0.36686801558912685,0.08842366420656941
13,0.3580243460283886,0.08195348692552276
