epoch,loss,val_pr_auc
1,1.2126708961642563,0.11933331146768374
2,1.1270481720032774,0.1196386951384862
3,1.0553698744388242,0.11796800341667898
4,0.977126034296753,0.11230080983714716
5,0.9061283362717085,0.1170517385517527
6,0.8496084082962251,0.1234882874050617
7,0.7914385470592549,0.11623375434003337
8,0.7441145187671195,0.11852394917696431
9,0.7022997776384868,0.1173196077889899
10,0.6699422746711692,0.11470233196317361
11,0.6459165946818544,0.12110553557578832
12,0.6150685673476318,0.11290881546524968
13,0.5741990535352174,0.1122077925587173
14,0.5493678367966408,0.11436532552495465
15,0.5126732642550765,0.1206803842361783
16,0.5038341858093228,0.11225146394849238
17,0.48454743812575946,0.10995569210600618
18,0.4446208876902461,0.114124466122274
