epoch,loss,val_pr_auc
1,0.08724048599314295,0.11035831518362627
2,0.08369181526363177,0.10422344069123632
3,0.08710495123309869,0.09503412774644701
4,0.09634949604007591,0.09818591278782926
5,0.09163301122263738,0.09396451495494441
6,0.07395347934588055,0.09869101665695082
7,0.061645340609930745,0.10094636983502481
8,0.046041511433215804,0.10181135524382125
9,0.038403536330294676,0.09759715408071781
10,0.03203581025819474,0.0966508865438791
11,0.024337577930801487,0.1007527919643701
12,0.02029017815206245,0.096705406188673
13,0.021206024745086816,0.09449387048898092
