model,seed,cohort,n,n_positive,positive_rate,threshold,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,f2,mcc
gbm,42,validation_all,24926,2087,0.0837278343897938,0.0815978455058311,0.631653370850175,0.1237327924486633,0.0755410946398878,0.2793400445450222,0.547179651769237,0.1157059314954051,0.663632007666507,0.1970548481183751,0.3408307904321291,0.1109729283677248
gbm,42,test_all,17838,1875,0.1051126807938109,0.0815978455058311,0.5759964751821922,0.1348171405849113,0.0937455854408503,0.3351875130588541,0.457562507007512,0.1234675161695144,0.6821333333333334,0.2090894229197319,0.3580827593930231,0.0704329551335558
gbm,42,test_seen,11169,1131,0.1012624227773301,0.0815978455058311,0.6059231771610938,0.1453245865721303,0.0899839868201199,0.32266919822166,0.4810636583400483,0.1262618170165037,0.6967285587975243,0.213781877373847,0.3660009289363679,0.0932568238047355
gbm,42,test_new,6669,744,0.1115609536662168,0.0815978455058311,0.5214995916700694,0.1166825792208713,0.1000453747638278,0.3561527339940199,0.4182036287299445,0.1192326372025255,0.6599462365591398,0.2019744960921431,0.3460670989568649,0.0309605518907022
gbm,42,test_bullpen,10947,1042,0.0951858956791815,0.0815978455058311,0.5797331850274343,0.1261641339286096,0.0857033587794773,0.3122417382591501,0.4883529734173746,0.1152742616033755,0.6554702495201535,0.1960671738194344,0.3383533141781433,0.0743505957218527
gbm,42,test_starter,6891,833,0.1208823102597591,0.0815978455058311,0.5654882950208806,0.1470737023296207,0.1065214169982511,0.3716390290554235,0.4086489624147438,0.1344158773116824,0.7154861944777912,0.2263147902031517,0.383723924800412,0.0557702588036992
