role,variant,model,imbalance_method,split,threshold_type,threshold,n_rows,positive_rate,accuracy,roc_auc,pr_auc,f1,precision,recall,mcc,brier,predicted_positive_rate
bullpen,cc3,XGBoost,unweighted,val,0.5,0.5,27714,0.02356209857833586,0.9695821606408314,0.5312463764441665,0.032087133732186524,0.025433526011560695,0.05188679245283019,0.016845329249617153,0.01639538871673316,0.05860315263271332,0.007649563397560799
bullpen,cc3,XGBoost,unweighted,val,validation_selected,0.35824358463287354,27714,0.02356209857833586,0.9253806740275673,0.5312463764441665,0.032087133732186524,0.07596067917783736,0.05362776025236593,0.13016845329249618,0.04881965502940992,0.05860315263271332,0.05719131125063145
bullpen,cc3,XGBoost,unweighted,test,0.5,0.5,28108,0.02376547602106162,0.9729258574071439,0.5092642248302229,0.025659960306527577,0.007822685788787484,0.030303030303030304,0.004491017964071856,0.002551724382790395,0.05670604482293129,0.0035221289312651204
bullpen,cc3,XGBoost,unweighted,test,validation_selected,0.35824358463287354,28108,0.02376547602106162,0.9365661021773161,0.5092642248302229,0.025659960306527577,0.03984921917070544,0.031118587047939444,0.05538922155688623,0.010145705450436578,0.05670604482293129,0.04230112423509321
bullpen,cc5,XGBoost,unweighted,val,0.5,0.5,27714,0.02356209857833586,0.9764379014216641,0.5498483008695741,0.030918202615493787,0.0,0.0,0.0,0.0,0.043164465576410294,0.0
bullpen,cc5,XGBoost,unweighted,val,validation_selected,0.22153609991073608,27714,0.02356209857833586,0.9094320560005773,0.5498483008695741,0.030918202615493787,0.06273338312173264,0.04148148148148148,0.12863705972434916,0.03316902192239179,0.043164465576410294,0.0730677635851916
bullpen,cc5,XGBoost,unweighted,test,0.5,0.5,28108,0.02376547602106162,0.9762345239789384,0.5110269439255599,0.03251971021547678,0.0,0.0,0.0,0.0,0.04305005073547363,0.0
bullpen,cc5,XGBoost,unweighted,test,validation_selected,0.22153609991073608,28108,0.02376547602106162,0.9090650348655187,0.5110269439255599,0.03251971021547678,0.03765060240963856,0.025150905432595575,0.0748502994011976,0.0025093177979388366,0.04305005073547363,0.07072719510459656
bullpen,cc3_capped3,XGBoost,unweighted,val,0.5,0.5,27714,0.02356209857833586,0.9764379014216641,0.5462140352976004,0.03402668513642139,0.0,0.0,0.0,0.0,0.10020888596773148,0.0
bullpen,cc3_capped3,XGBoost,unweighted,val,validation_selected,0.3987090289592743,27714,0.02356209857833586,0.9676697697914411,0.5462140352976004,0.03402668513642139,0.07818930041152264,0.11912225705329153,0.05819295558958652,0.06798408422635491,0.10020888596773148,0.011510427942556108
bullpen,cc3_capped3,XGBoost,unweighted,test,0.5,0.5,28108,0.02376547602106162,0.9762345239789384,0.5029047044395175,0.02342749783454414,0.0,0.0,0.0,0.0,0.10223183035850525,0.0
bullpen,cc3_capped3,XGBoost,unweighted,test,validation_selected,0.3987090289592743,28108,0.02376547602106162,0.9723922015084674,0.5029047044395175,0.02342749783454414,0.0076726342710997444,0.02631578947368421,0.004491017964071856,0.0010684720559028713,0.10223183035850525,0.004055784829941653
starter,cc3,XGBoost,unweighted,val,0.5,0.5,8418,0.028985507246376812,0.9617486338797814,0.5795209320235694,0.045037415679498496,0.018292682926829267,0.03571428571428571,0.012295081967213115,0.004026667938630115,0.06969041377305984,0.009978617248752673
starter,cc3,XGBoost,unweighted,val,validation_selected,0.3481304943561554,8418,0.028985507246376812,0.8902352102637205,0.5795209320235694,0.045037415679498496,0.07414829659318638,0.04907161803713528,0.15163934426229508,0.03755350438081217,0.06969041377305984,0.08956996911380376
starter,cc3,XGBoost,unweighted,test,0.5,0.5,8574,0.034056449731747145,0.9512479589456496,0.5423802403628268,0.03669459110877871,0.014150943396226415,0.022727272727272728,0.010273972602739725,-0.007810648507049555,0.08368151634931564,0.015395381385584325
starter,cc3,XGBoost,unweighted,test,validation_selected,0.3481304943561554,8574,0.034056449731747145,0.8382318637742011,0.5423802403628268,0.03669459110877871,0.05324232081911263,0.03324808184143223,0.13356164383561644,-0.0017743418606030762,0.08368151634931564,0.13680895731280615
starter,cc5,XGBoost,unweighted,val,0.5,0.5,8418,0.028985507246376812,0.9710144927536232,0.5627908061145495,0.047025995126197165,0.0,0.0,0.0,0.0,0.051339950412511826,0.0
starter,cc5,XGBoost,unweighted,val,validation_selected,0.1734371781349182,8418,0.028985507246376812,0.5121168923734853,0.5627908061145495,0.047025995126197165,0.06637872243691748,0.03513838748495788,0.5983606557377049,0.036207871992449334,0.051339950412511826,0.49358517462580187
starter,cc5,XGBoost,unweighted,test,0.5,0.5,8574,0.034056449731747145,0.9659435502682528,0.5368334695146761,0.03646356584474005,0.0,0.0,0.0,0.0,0.060607947409152985,0.0
