role,horizon_days,split,threshold_type,threshold,positive_rate,accuracy,roc_auc,pr_auc,f1,precision,recall,mcc,brier,predicted_positive_rate
bullpen,7,val,0.5,0.5,0.013134156022227034,0.5464747059248033,0.5338854290133997,0.01838874080106876,0.029045963692545383,0.014943168269612908,0.5164835164835165,0.014487932961403351,0.2467343807220459,0.4539582882297756
bullpen,7,val,validation_selected,0.5050829648971558,0.013134156022227034,0.8412354766543985,0.5338854290133997,0.01838874080106876,0.03508771929824561,0.019065776930409915,0.21978021978021978,0.022006997269098594,0.2467343807220459,0.15140362271775998
bullpen,7,test,0.5,0.5,0.013021203927707415,0.5424078554148285,0.503645022658036,0.014136740336431853,0.02545840278830126,0.013092269326683292,0.45901639344262296,0.0005745410552112601,0.24688410758972168,0.4565248327878184
bullpen,7,test,validation_selected,0.5050829648971558,0.013021203927707415,0.8353137896684218,0.503645022658036,0.014136740336431853,0.02403542061986085,0.013022618231665525,0.1557377049180328,5.357886740860255e-06,0.24688410758972168,0.15572079123381244
bullpen,14,val,0.5,0.5,0.023526015732120948,0.588475138918958,0.5406252422861749,0.03527106336210312,0.051401480495716544,0.027174390994635478,0.47392638036809814,0.020078368087634232,0.2338389754295349,0.41029804430973515
bullpen,14,val,validation_selected,0.5300549268722534,0.023526015732120948,0.8942772605903153,0.5406252422861749,0.03527106336210312,0.07160963244613434,0.04512779552715655,0.17331288343558282,0.04491751732431805,0.2338389754295349,0.09035144692213322
bullpen,14,test,0.5,0.5,0.02376547602106162,0.5874128362032162,0.531665277317086,0.02603204999474737,0.048880505207906176,0.025856832971800435,0.44610778443113774,0.011446342606667586,0.2340696007013321,0.4100256154831365
bullpen,14,test,validation_selected,0.5300549268722534,0.02376547602106162,0.8907072719510459,0.531665277317086,0.02603204999474737,0.05067985166872682,0.031931464174454825,0.12275449101796407,0.016999864856526128,0.2340696007013321,0.09136188985342251
bullpen,30,val,0.5,0.5,0.042505592841163314,0.8272714151692285,0.5703420071167055,0.05853775478271447,0.10740257318664927,0.06881720430107527,0.24448217317487267,0.0550050142846593,0.1631452441215515,0.15100671140939598
bullpen,30,val,validation_selected,0.5318731665611267,0.042505592841163314,0.8816121815688821,0.5703420071167055,0.05853775478271447,0.10915014933478143,0.08023952095808383,0.17062818336162988,0.05896128119186363,0.1631452441215515,0.09038752976834813
bullpen,30,test,0.5,0.5,0.04447132488971112,0.8375195673829515,0.5213419465336213,0.048755111442247534,0.07569317951831613,0.050663776754267136,0.1496,0.011679563548484302,0.16342756152153015,0.13131492813433898
bullpen,30,test,validation_selected,0.5318731665611267,0.04447132488971112,0.8915255443290167,0.5213419465336213,0.048755111442247534,0.07184170471841704,0.057985257985257985,0.0944,0.018314985221899182,0.16342756152153015,0.0723993169204497
starter,7,val,0.5,0.5,0.017343787122832025,0.7208363031598954,0.531633369545057,0.036212030621637394,0.041598694942903754,0.022116218560277536,0.3493150684931507,0.022454578498832006,0.22130700945854187,0.2739368020907579
starter,7,val,validation_selected,0.5439358353614807,0.017343787122832025,0.9270610596341173,0.531633369545057,0.036212030621637394,0.06402439024390244,0.041176470588235294,0.14383561643835616,0.046360908007453544,0.22130700945854187,0.06058446186742694
starter,7,test,0.5,0.5,0.020177280149288546,0.7094704921856776,0.5627767269654795,0.02625227276881683,0.04522805672671522,0.024220032840722498,0.34104046242774566,0.018113288737285998,0.22454597055912018,0.2841147655703289
starter,7,test,validation_selected,0.5439358353614807,0.020177280149288546,0.9160251924422673,0.5627767269654795,0.02625227276881683,0.05759162303664921,0.03722504230118443,0.12716763005780346,0.03298929151084673,0.22454597055912018,0.06892932120363891
starter,14,val,0.5,0.5,0.028985507246376812,0.7386552625326681,0.5707691721451864,0.05129133048869648,0.06542056074766354,0.036492890995260666,0.3155737704918033,0.025880978548390582,0.19224980473518372,0.2506533618436683
starter,14,val,validation_selected,0.534063994884491,0.028985507246376812,0.8342836778332146,0.5707691721451864,0.05129133048869648,0.07554671968190854,0.045059288537549404,0.2336065573770492,0.04029172828753134,0.19224980473518372,0.15027322404371585
starter,14,test,0.5,0.5,0.03382318637742011,0.7063214369022627,0.5142661799230757,0.03468532027606389,0.06671608598962195,0.03737541528239203,0.3103448275862069,0.012279816018771771,0.20097368955612183,0.2808490786097504
starter,14,test,validation_selected,0.534063994884491,0.03382318637742011,0.8021926755306741,0.5142661799230757,0.03468532027606389,0.06298342541436464,0.0375,0.19655172413793104,0.009441480869347969,0.20097368955612183,0.17728014928854677
starter,30,val,0.5,0.5,0.050011879306248515,0.5833927298645759,0.5389665126797847,0.06376598914150877,0.10421455938697317,0.05838580423583286,0.4845605700712589,0.03236203452688181,0.24850186705589294,0.4150629603231171
starter,30,val,validation_selected,0.5035880208015442,0.050011879306248515,0.6735566642908054,0.5389665126797847,0.06376598914150877,0.10952689565780946,0.06341463414634146,0.4014251781472684,0.04185041980635805,0.24850186705589294,0.3165835115229271
starter,30,test,0.5,0.5,0.059015628644739915,0.555866573361325,0.5148990497765045,0.061210439366383415,0.10819672131147541,0.061370882040382574,0.45652173913043476,0.008841280794930503,0.24871058762073517,0.4390016328434803
starter,30,test,validation_selected,0.5035880208015442,0.059015628644739915,0.6389083275017495,0.5148990497765045,0.061210439366383415,0.10520231213872833,0.061611374407582936,0.35968379446640314,0.007985911949197165,0.24871058762073517,0.344529974341031
